,PC0,PC1,PC2,PC3,PC4
33,9.804054107549928e-11,1.4038770571408453e-10,8.462713942574413e-11,8.714848314790904e-11,1.258238860289256e-10
34,4.216882521785695e-10,6.03830268585961e-10,3.6399503837736665e-10,3.7483974624696487e-10,5.411889204180726e-10
35,1.7028853816213726e-09,2.438421587614238e-09,1.4699053782817929e-09,1.5136990917743681e-09,2.185459747845031e-09
36,6.4743372680788865e-09,9.270831689768497e-09,5.588551803820337e-09,5.755054655058971e-09,8.30907567007667e-09
37,2.32284366925136e-08,3.326161706997939e-08,2.005044167499673e-08,2.0647815704024922e-08,2.981105712970547e-08
38,7.879341165712606e-08,1.1282706283119115e-07,6.801330307839393e-08,7.00396614771778e-08,1.0112238406091396e-07
39,2.5310397053888444e-07,3.624284947970262e-07,2.1847558947587674e-07,2.2498475497183005e-07,3.24830165084755e-07
40,7.709558519819226e-07,1.1039588529324964e-06,6.654776448706504e-07,6.853045927448365e-07,9.894341686507532e-07
41,2.2293223328290776e-06,3.192245209683542e-06,1.924317938432907e-06,1.9816502196188312e-06,2.861081712223669e-06
42,6.12556704843846e-06,8.771415321604949e-06,5.287498528498974e-06,5.445031931036882e-06,7.861468752724734e-06
43,1.6006910908643926e-05,2.29208598135315e-05,1.3816927838026792e-05,1.4228583301042721e-05,2.054304996433467e-05
44,3.980772442213326e-05,5.7002083424024085e-05,3.4361436686678603e-05,3.538518619850729e-05,5.108868765732642e-05
45,9.427592995472746e-05,0.00013499702638540185,8.137758300034843e-05,8.380211086948751e-05,0.00012099243573901319
46,0.00021274401595739205,0.00030463565354742314,0.00018363747591473812,0.00018910868999802728,0.00027303275281346845
47,0.00045768845080247883,0.0006553802216437039,0.00039506987532631226,0.0004068404132028035,0.000587391081677391
48,0.0009392125482606026,0.0013448915457078964,0.0008107143269527971,0.0008348683925719872,0.001205372505426922
49,0.0018393520233449742,0.0026338329810352166,0.001587701357269219,0.0016350046322905877,0.0023605991645437117
50,0.003439592364068031,0.004925273517614124,0.0029690050602590467,0.003057462289515474,0.004414325674508101
51,0.006145266782715439,0.008799624066805093,0.005304503046749173,0.005462543074632438,0.007886751122063253
52,0.010496419939451768,0.015030193611998751,0.009060353849499238,0.009330294042898504,0.013470961419790626
53,0.017152073524504638,0.02456065854918633,0.014805415208068287,0.015246521232735444,0.02201273597269787
54,0.026836015306499723,0.03842743614436108,0.023164449983021473,0.023854601421409348,0.034440974096063635
55,0.04023923010945,0.05761997211392409,0.03473390603419401,0.0357687527991504,0.05164247630344351
56,0.05788699417527264,0.0828904286948812,0.04996719408316272,0.051455894892357384,0.07429137514572805
57,0.07999452857383293,0.11454699070764249,0.06905008999458409,0.07110733875958211,0.10266388311992736
58,0.10634811232955707,0.1522836302266323,0.09179811374034053,0.09453310885850807,0.13648571587652739
59,0.13625189194979154,0.19510394931958552,0.1176106171677339,0.12111466384628176,0.17486383098863637
60,0.16856981744938113,0.24138125016158526,0.14550698521925218,0.14984217864919253,0.21634025494910242
61,0.2018680756127305,0.2890625388790951,0.1742495889327597,0.17944116600858187,0.2590748965912123
62,0.23463318948509962,0.33598093806578677,0.20253206160790707,0.20856637377593745,0.301125490254896
63,0.2655156032571657,0.3802047086681797,0.22918959304266862,0.23601836869832948,0.3407602880212327
64,0.293538228068901,0.4203363029441928,0.2533790174115745,0.2609290364242725,0.376725858898287
65,0.31821866914342034,0.45568813229518784,0.2746844664354735,0.2828704670566644,0.40840422940857796
66,0.33957955351731534,0.48629848191278024,0.2931265804477991,0.30186458399572025,0.435826559075737
67,0.35805428032313624,0.5127977947454002,0.30908178463631286,0.31830024119981215,0.45955260156856825
68,0.3743247198836882,0.5361762444882855,0.32314370650854696,0.332790841839086,0.4804620368569281
69,0.3891452660952539,0.5575260840096996,0.33597524641073495,0.34602244696741724,0.4995248368474509
70,0.4032126293050926,0.5778328118374042,0.3482063758003255,0.3586491012552199,0.5176199640533969
71,0.4171356397535495,0.5978714387813528,0.3604319692435216,0.37129139038742615,0.535458039692459
72,0.4315548889977727,0.6182415371207252,0.37336503483494843,0.38469602877030146,0.5536458847637005
73,0.44741066537749097,0.639527070033337,0.38814812225684125,0.40006111666640637,0.5728797842041496
74,0.4663671519945335,0.6625733871189052,0.4068272667099667,0.41953649560305384,0.594258137790637
75,0.49123127899783325,0.6887949689279456,0.4327988029164056,0.44671409457614036,0.6195911594163501
76,0.5259812206921701,0.7202898023653055,0.4707814224243806,0.48664150964762953,0.6514402374021762
77,0.5745534072602899,0.7592129709950334,0.5253732306505269,0.5443612321380339,0.6923101219486723
78,0.6377706099245025,0.8059076155469603,0.5975417944139423,0.6212043478610503,0.7425675055570503
