,0,1,1ger approx,1 ger rounded
339,39716.54145,4230.306785,2206.474525,39.7
340,39734.9219,4237.289744,2207.495661,39.7
341,39752.99403,4241.17809,2208.499668,39.8
342,39770.24579,4241.814351,2209.458099,39.8
343,39785.56474,4244.532018,2210.309152,39.8
344,39790.30101,4260.495461,2210.572279,39.8
345,39798.75908,4255.545637,2211.042171,39.8
346,39808.35853,4267.700114,2211.575474,39.8
347,39820.87068,4283.260595,2212.270593,39.8
348,39832.29871,4274.455371,2212.905484,39.8
349,39841.272,4282.128486,2213.404,39.8
350,39853.27567,4294.314251,2214.070871,39.9
351,39857.72775,4313.005886,2214.318209,39.9
352,39862.52777,4318.206417,2214.584876,39.9
353,39870.9805,4315.289298,2215.054472,39.9
354,39889.62132,4315.723487,2216.090073,39.9
355,39895.31446,4326.830389,2216.406359,39.9
356,39903.7973,4348.08574,2216.877628,39.9
357,39920.8007,4355.746811,2217.822261,39.9
358,39933.47523,4367.290118,2218.526401,39.9
359,39949.85003,4377.339043,2219.436113,39.9
